,Period,HomeCountry,Commune,Gender,Population
267,2023Q4,Denmark,Hørsholm,Women,11295
268,2023Q4,Denmark,Rudersdal,Men,24404
269,2023Q4,Denmark,Rudersdal,Women,24998
270,2023Q4,Denmark,Bornholm,Men,17825
271,2023Q4,Denmark,Bornholm,Women,18137
272,2023Q4,Denmark,Christiansø,Men,44
273,2023Q4,Denmark,Christiansø,Women,41
274,2023Q4,Denmark,Region Sjælland,Men,374254
275,2023Q4,Denmark,Region Sjælland,Women,378857
276,2023Q4,Denmark,Greve,Men,20625
277,2023Q4,Denmark,Greve,Women,21236
278,2023Q4,Denmark,Køge,Men,26525
279,2023Q4,Denmark,Køge,Women,27202
280,2023Q4,Denmark,Lejre,Men,13190
281,2023Q4,Denmark,Lejre,Women,13330
282,2023Q4,Denmark,Roskilde,Men,39274
283,2023Q4,Denmark,Roskilde,Women,40916
284,2023Q4,Denmark,Solrød,Men,10726
285,2023Q4,Denmark,Solrød,Women,11071
286,2023Q4,Denmark,Faxe,Men,16887
287,2023Q4,Denmark,Faxe,Women,16597
288,2023Q4,Denmark,Guldborgsund,Men,27012
289,2023Q4,Denmark,Guldborgsund,Women,27087
290,2023Q4,Denmark,Holbæk,Men,32553
291,2023Q4,Denmark,Holbæk,Women,33213
292,2023Q4,Denmark,Kalundborg,Men,22254
293,2023Q4,Denmark,Kalundborg,Women,21838
294,2023Q4,Denmark,Lolland,Men,18001
295,2023Q4,Denmark,Lolland,Women,17517
296,2023Q4,Denmark,Næstved,Men,37574
297,2023Q4,Denmark,Næstved,Women,38328
298,2023Q4,Denmark,Odsherred,Men,15097
299,2023Q4,Denmark,Odsherred,Women,15089
300,2023Q4,Denmark,Ringsted,Men,15009
301,2023Q4,Denmark,Ringsted,Women,15065
302,2023Q4,Denmark,Slagelse,Men,34458
303,2023Q4,Denmark,Slagelse,Women,34987
304,2023Q4,Denmark,Sorø,Men,13937
305,2023Q4,Denmark,Sorø,Women,14045
306,2023Q4,Denmark,Stevns,Men,10775
307,2023Q4,Denmark,Stevns,Women,10659
308,2023Q4,Denmark,Vordingborg,Men,20357
309,2023Q4,Denmark,Vordingborg,Women,20677
310,2023Q4,Denmark,Region Syddanmark,Men,533583
311,2023Q4,Denmark,Region Syddanmark,Women,534913
312,2023Q4,Denmark,Assens,Men,18766
313,2023Q4,Denmark,Assens,Women,18460
314,2023Q4,Denmark,Faaborg-Midtfyn,Men,23982
315,2023Q4,Denmark,Faaborg-Midtfyn,Women,23928
316,2023Q4,Denmark,Kerteminde,Men,10547
317,2023Q4,Denmark,Kerteminde,Women,10923
318,2023Q4,Denmark,Langeland,Men,5604
319,2023Q4,Denmark,Langeland,Women,5471
320,2023Q4,Denmark,Middelfart,Men,18401
321,2023Q4,Denmark,Middelfart,Women,18361
322,2023Q4,Denmark,Nordfyns,Men,13568
323,2023Q4,Denmark,Nordfyns,Women,13258
324,2023Q4,Denmark,Nyborg,Men,14430
325,2023Q4,Denmark,Nyborg,Women,14718
326,2023Q4,Denmark,Odense,Men,84748
327,2023Q4,Denmark,Odense,Women,87468
328,2023Q4,Denmark,Svendborg,Men,27267
329,2023Q4,Denmark,Svendborg,Women,27487
330,2023Q4,Denmark,Ærø,Men,2627
331,2023Q4,Denmark,Ærø,Women,2685
332,2023Q4,Denmark,Billund,Men,11295
333,2023Q4,Denmark,Billund,Women,11049
334,2023Q4,Denmark,Esbjerg,Men,50839
335,2023Q4,Denmark,Esbjerg,Women,50573
336,2023Q4,Denmark,Fanø,Men,1479
337,2023Q4,Denmark,Fanø,Women,1594
338,2023Q4,Denmark,Fredericia,Men,22642
339,2023Q4,Denmark,Fredericia,Women,22578
340,2023Q4,Denmark,Haderslev,Men,24066
341,2023Q4,Denmark,Haderslev,Women,23870
342,2023Q4,Denmark,Kolding,Men,40402
343,2023Q4,Denmark,Kolding,Women,40475
344,2023Q4,Denmark,Sønderborg,Men,30850
345,2023Q4,Denmark,Sønderborg,Women,30774
346,2023Q4,Denmark,Tønder,Men,15736
347,2023Q4,Denmark,Tønder,Women,15533
348,2023Q4,Denmark,Varde,Men,22193
349,2023Q4,Denmark,Varde,Women,21680
350,2023Q4,Denmark,Vejen,Men,18846
351,2023Q4,Denmark,Vejen,Women,18417
352,2023Q4,Denmark,Vejle,Men,51131
353,2023Q4,Denmark,Vejle,Women,51393
354,2023Q4,Denmark,Aabenraa,Men,24164
355,2023Q4,Denmark,Aabenraa,Women,24218
356,2023Q4,Denmark,Region Midtjylland,Men,592183
357,2023Q4,Denmark,Region Midtjylland,Women,595073
358,2023Q4,Denmark,Favrskov,Men,22481
359,2023Q4,Denmark,Favrskov,Women,22210
360,2023Q4,Denmark,Hedensted,Men,21911
361,2023Q4,Denmark,Hedensted,Women,20948
362,2023Q4,Denmark,Horsens,Men,40345
363,2023Q4,Denmark,Horsens,Women,40805
364,2023Q4,Denmark,Norddjurs,Men,16911
365,2023Q4,Denmark,Norddjurs,Women,16281
366,2023Q4,Denmark,Odder,Men,10683
367,2023Q4,Denmark,Odder,Women,11113
368,2023Q4,Denmark,Randers,Men,44635
369,2023Q4,Denmark,Randers,Women,44727
370,2023Q4,Denmark,Samsø,Men,1628
371,2023Q4,Denmark,Samsø,Women,1681
372,2023Q4,Denmark,Silkeborg,Men,45230
373,2023Q4,Denmark,Silkeborg,Women,45591
374,2023Q4,Denmark,Skanderborg,Men,29887
375,2023Q4,Denmark,Skanderborg,Women,30132
376,2023Q4,Denmark,Syddjurs,Men,20260
377,2023Q4,Denmark,Syddjurs,Women,20241
378,2023Q4,Denmark,Aarhus,Men,146549
379,2023Q4,Denmark,Aarhus,Women,152894
380,2023Q4,Denmark,Herning,Men,39414
381,2023Q4,Denmark,Herning,Women,38872
382,2023Q4,Denmark,Holstebro,Men,26541
383,2023Q4,Denmark,Holstebro,Women,26495
384,2023Q4,Denmark,Ikast-Brande,Men,18260
385,2023Q4,Denmark,Ikast-Brande,Women,17718
386,2023Q4,Denmark,Lemvig,Men,8768
387,2023Q4,Denmark,Lemvig,Women,8510
388,2023Q4,Denmark,Ringkøbing-Skjern,Men,24699
389,2023Q4,Denmark,Ringkøbing-Skjern,Women,24077
390,2023Q4,Denmark,Skive,Men,20835
391,2023Q4,Denmark,Skive,Women,20160
392,2023Q4,Denmark,Struer,Men,9130
393,2023Q4,Denmark,Struer,Women,9081
394,2023Q4,Denmark,Viborg,Men,44016
395,2023Q4,Denmark,Viborg,Women,43537
396,2023Q4,Denmark,Region Nordjylland,Men,270044
397,2023Q4,Denmark,Region Nordjylland,Women,265037
398,2023Q4,Denmark,Brønderslev,Men,16989
399,2023Q4,Denmark,Brønderslev,Women,16615
400,2023Q4,Denmark,Frederikshavn,Men,26435
401,2023Q4,Denmark,Frederikshavn,Women,26232
402,2023Q4,Denmark,Hjørring,Men,29064
403,2023Q4,Denmark,Hjørring,Women,28842
404,2023Q4,Denmark,Jammerbugt,Men,18021
405,2023Q4,Denmark,Jammerbugt,Women,17621
406,2023Q4,Denmark,Læsø,Men,826
407,2023Q4,Denmark,Læsø,Women,822
408,2023Q4,Denmark,Mariagerfjord,Men,19394
409,2023Q4,Denmark,Mariagerfjord,Women,18528
410,2023Q4,Denmark,Morsø,Men,9386
411,2023Q4,Denmark,Morsø,Women,9009
412,2023Q4,Denmark,Rebild,Men,14674
413,2023Q4,Denmark,Rebild,Women,14202
414,2023Q4,Denmark,Thisted,Men,19663
415,2023Q4,Denmark,Thisted,Women,19349
416,2023Q4,Denmark,Vesthimmerlands,Men,16318
417,2023Q4,Denmark,Vesthimmerlands,Women,15973
418,2023Q4,Denmark,Aalborg,Men,99274
419,2023Q4,Denmark,Aalborg,Women,97844
420,2023Q4,Albania,All Denmark,Men,764
421,2023Q4,Albania,All Denmark,Women,548
422,2023Q4,Albania,Region Hovedstaden,Men,345
423,2023Q4,Albania,Region Hovedstaden,Women,322
424,2023Q4,Albania,Copenhagen,Men,159
425,2023Q4,Albania,Copenhagen,Women,146
426,2023Q4,Albania,Frederiksberg,Men,15
427,2023Q4,Albania,Frederiksberg,Women,17
428,2023Q4,Albania,Dragør,Men,3
429,2023Q4,Albania,Dragør,Women,1
430,2023Q4,Albania,Tårnby,Men,1
431,2023Q4,Albania,Tårnby,Women,2
432,2023Q4,Albania,Albertslund,Men,5
433,2023Q4,Albania,Albertslund,Women,5
434,2023Q4,Albania,Ballerup,Men,3
435,2023Q4,Albania,Ballerup,Women,10
436,2023Q4,Albania,Brøndby,Men,10
437,2023Q4,Albania,Brøndby,Women,4
438,2023Q4,Albania,Gentofte,Men,19
439,2023Q4,Albania,Gentofte,Women,22
440,2023Q4,Albania,Gladsaxe,Men,21
441,2023Q4,Albania,Gladsaxe,Women,19
442,2023Q4,Albania,Glostrup,Men,6
443,2023Q4,Albania,Glostrup,Women,6
444,2023Q4,Albania,Herlev,Men,5
445,2023Q4,Albania,Herlev,Women,6
446,2023Q4,Albania,Hvidovre,Men,3
447,2023Q4,Albania,Hvidovre,Women,4
448,2023Q4,Albania,Høje-Taastrup,Men,24
449,2023Q4,Albania,Høje-Taastrup,Women,24
450,2023Q4,Albania,Ishøj,Men,0
451,2023Q4,Albania,Ishøj,Women,0
452,2023Q4,Albania,Lyngby-Taarbæk,Men,18
453,2023Q4,Albania,Lyngby-Taarbæk,Women,12
454,2023Q4,Albania,Rødovre,Men,6
455,2023Q4,Albania,Rødovre,Women,4
456,2023Q4,Albania,Vallensbæk,Men,7
457,2023Q4,Albania,Vallensbæk,Women,10
458,2023Q4,Albania,Allerød,Men,4
459,2023Q4,Albania,Allerød,Women,3
460,2023Q4,Albania,Egedal,Men,6
461,2023Q4,Albania,Egedal,Women,5
462,2023Q4,Albania,Fredensborg,Men,5
463,2023Q4,Albania,Fredensborg,Women,3
464,2023Q4,Albania,Frederikssund,Men,4
465,2023Q4,Albania,Frederikssund,Women,6
466,2023Q4,Albania,Furesø,Men,6
467,2023Q4,Albania,Furesø,Women,0
468,2023Q4,Albania,Gribskov,Men,1
469,2023Q4,Albania,Gribskov,Women,0
470,2023Q4,Albania,Halsnæs,Men,1
471,2023Q4,Albania,Halsnæs,Women,2
472,2023Q4,Albania,Helsingør,Men,1
473,2023Q4,Albania,Helsingør,Women,0
474,2023Q4,Albania,Hillerød,Men,1
475,2023Q4,Albania,Hillerød,Women,3
476,2023Q4,Albania,Hørsholm,Men,0
477,2023Q4,Albania,Hørsholm,Women,0
478,2023Q4,Albania,Rudersdal,Men,10
479,2023Q4,Albania,Rudersdal,Women,7
480,2023Q4,Albania,Bornholm,Men,1
481,2023Q4,Albania,Bornholm,Women,1
482,2023Q4,Albania,Christiansø,Men,0
483,2023Q4,Albania,Christiansø,Women,0
484,2023Q4,Albania,Region Sjælland,Men,83
485,2023Q4,Albania,Region Sjælland,Women,49
486,2023Q4,Albania,Greve,Men,8
487,2023Q4,Albania,Greve,Women,4
488,2023Q4,Albania,Køge,Men,15
489,2023Q4,Albania,Køge,Women,6
490,2023Q4,Albania,Lejre,Men,3
491,2023Q4,Albania,Lejre,Women,0
492,2023Q4,Albania,Roskilde,Men,5
493,2023Q4,Albania,Roskilde,Women,8
494,2023Q4,Albania,Solrød,Men,1
495,2023Q4,Albania,Solrød,Women,0
496,2023Q4,Albania,Faxe,Men,5
497,2023Q4,Albania,Faxe,Women,7
498,2023Q4,Albania,Guldborgsund,Men,3
499,2023Q4,Albania,Guldborgsund,Women,4
500,2023Q4,Albania,Holbæk,Men,1
501,2023Q4,Albania,Holbæk,Women,1
502,2023Q4,Albania,Kalundborg,Men,4
503,2023Q4,Albania,Kalundborg,Women,1
504,2023Q4,Albania,Lolland,Men,1
505,2023Q4,Albania,Lolland,Women,1
506,2023Q4,Albania,Næstved,Men,7
507,2023Q4,Albania,Næstved,Women,4
508,2023Q4,Albania,Odsherred,Men,0
509,2023Q4,Albania,Odsherred,Women,0
510,2023Q4,Albania,Ringsted,Men,1
511,2023Q4,Albania,Ringsted,Women,1
512,2023Q4,Albania,Slagelse,Men,6
513,2023Q4,Albania,Slagelse,Women,7
514,2023Q4,Albania,Sorø,Men,0
515,2023Q4,Albania,Sorø,Women,0
516,2023Q4,Albania,Stevns,Men,1
517,2023Q4,Albania,Stevns,Women,0
518,2023Q4,Albania,Vordingborg,Men,22
519,2023Q4,Albania,Vordingborg,Women,5
520,2023Q4,Albania,Region Syddanmark,Men,244
521,2023Q4,Albania,Region Syddanmark,Women,103
522,2023Q4,Albania,Assens,Men,1
523,2023Q4,Albania,Assens,Women,0
524,2023Q4,Albania,Faaborg-Midtfyn,Men,0
525,2023Q4,Albania,Faaborg-Midtfyn,Women,0
526,2023Q4,Albania,Kerteminde,Men,33
527,2023Q4,Albania,Kerteminde,Women,0
528,2023Q4,Albania,Langeland,Men,0
529,2023Q4,Albania,Langeland,Women,0
530,2023Q4,Albania,Middelfart,Men,2
531,2023Q4,Albania,Middelfart,Women,5
532,2023Q4,Albania,Nordfyns,Men,1
533,2023Q4,Albania,Nordfyns,Women,0
534,2023Q4,Albania,Nyborg,Men,1
535,2023Q4,Albania,Nyborg,Women,0
536,2023Q4,Albania,Odense,Men,162
537,2023Q4,Albania,Odense,Women,29
538,2023Q4,Albania,Svendborg,Men,1
539,2023Q4,Albania,Svendborg,Women,2
540,2023Q4,Albania,Ærø,Men,0
541,2023Q4,Albania,Ærø,Women,0
542,2023Q4,Albania,Billund,Men,1
543,2023Q4,Albania,Billund,Women,1
544,2023Q4,Albania,Esbjerg,Men,2
545,2023Q4,Albania,Esbjerg,Women,6
546,2023Q4,Albania,Fanø,Men,0
547,2023Q4,Albania,Fanø,Women,0
548,2023Q4,Albania,Fredericia,Men,1
549,2023Q4,Albania,Fredericia,Women,6
550,2023Q4,Albania,Haderslev,Men,2
551,2023Q4,Albania,Haderslev,Women,4
552,2023Q4,Albania,Kolding,Men,9
553,2023Q4,Albania,Kolding,Women,10
554,2023Q4,Albania,Sønderborg,Men,8
555,2023Q4,Albania,Sønderborg,Women,9
556,2023Q4,Albania,Tønder,Men,1
557,2023Q4,Albania,Tønder,Women,1
558,2023Q4,Albania,Varde,Men,2
559,2023Q4,Albania,Varde,Women,0
560,2023Q4,Albania,Vejen,Men,3
561,2023Q4,Albania,Vejen,Women,6
562,2023Q4,Albania,Vejle,Men,14
563,2023Q4,Albania,Vejle,Women,22
564,2023Q4,Albania,Aabenraa,Men,0
565,2023Q4,Albania,Aabenraa,Women,2
566,2023Q4,Albania,Region Midtjylland,Men,65
567,2023Q4,Albania,Region Midtjylland,Women,61
568,2023Q4,Albania,Favrskov,Men,2
569,2023Q4,Albania,Favrskov,Women,0
570,2023Q4,Albania,Hedensted,Men,0
571,2023Q4,Albania,Hedensted,Women,2
572,2023Q4,Albania,Horsens,Men,8
573,2023Q4,Albania,Horsens,Women,5
574,2023Q4,Albania,Norddjurs,Men,1
575,2023Q4,Albania,Norddjurs,Women,0
576,2023Q4,Albania,Odder,Men,1
577,2023Q4,Albania,Odder,Women,0
578,2023Q4,Albania,Randers,Men,5
579,2023Q4,Albania,Randers,Women,2
580,2023Q4,Albania,Samsø,Men,0
